v_landname,iso_code,v_kontinent,v_sub_region,v_alphabetische_gruppe,v_nationaltier
Guadeloupe,GLP,Americas,Latin America and the Caribbean,G-L,Unbekannt
Guam,GUM,Oceania,Micronesia,G-L,Unbekannt
Guatemala,GTM,Americas,Latin America and the Caribbean,G-L,Unbekannt
Guernsey,GGY,Europe,Northern Europe,G-L,Unbekannt
Guinea,GIN,Africa,Sub-Saharan Africa,G-L,Unbekannt
Guinea-Bissau,GNB,Africa,Sub-Saharan Africa,G-L,Unbekannt
Guyana,GUY,Americas,Latin America and the Caribbean,G-L,Unbekannt
Haiti,HTI,Americas,Latin America and the Caribbean,G-L,Unbekannt
Heard Island and McDonald Islands,HMD,Oceania,Australia and New Zealand,G-L,Unbekannt
Holy See,VAT,Europe,Southern Europe,G-L,Unbekannt
Honduras,HND,Americas,Latin America and the Caribbean,G-L,Unbekannt
Hong Kong,HKG,Asia,Eastern Asia,G-L,Unbekannt
Hungary,HUN,Europe,Eastern Europe,G-L,Unbekannt
Iceland,ISL,Europe,Northern Europe,G-L,Unbekannt
India,IND,Asia,Southern Asia,G-L,Königstiger
Indonesia,IDN,Asia,South-eastern Asia,G-L,Unbekannt
"Iran, Islamic Republic of",IRN,Asia,Southern Asia,G-L,Unbekannt
Iraq,IRQ,Asia,Western Asia,G-L,Unbekannt
Ireland,IRL,Europe,Northern Europe,G-L,Irischer Wolfshund
Isle of Man,IMN,Europe,Northern Europe,G-L,Unbekannt
Israel,ISR,Asia,Western Asia,G-L,Unbekannt
Italy,ITA,Europe,Southern Europe,G-L,Italienischer Wolf
Jamaica,JAM,Americas,Latin America and the Caribbean,G-L,Unbekannt
Japan,JPN,Asia,Eastern Asia,G-L,Fasan
Jersey,JEY,Europe,Northern Europe,G-L,Unbekannt
Jordan,JOR,Asia,Western Asia,G-L,Unbekannt
Kazakhstan,KAZ,Asia,Central Asia,G-L,Unbekannt
Kenya,KEN,Africa,Sub-Saharan Africa,G-L,Unbekannt
Kiribati,KIR,Oceania,Micronesia,G-L,Unbekannt
"Korea, Democratic People's Republic of",PRK,Asia,Eastern Asia,G-L,Unbekannt
"Korea, Republic of",KOR,Asia,Eastern Asia,G-L,Sibirischer Tiger
Kuwait,KWT,Asia,Western Asia,G-L,Unbekannt
Kyrgyzstan,KGZ,Asia,Central Asia,G-L,Unbekannt
Lao People's Democratic Republic,LAO,Asia,South-eastern Asia,G-L,Unbekannt
Latvia,LVA,Europe,Northern Europe,G-L,Unbekannt
Lebanon,LBN,Asia,Western Asia,G-L,Unbekannt
Lesotho,LSO,Africa,Sub-Saharan Africa,G-L,Unbekannt
Liberia,LBR,Africa,Sub-Saharan Africa,G-L,Unbekannt
Libya,LBY,Africa,Northern Africa,G-L,Unbekannt
Liechtenstein,LIE,Europe,Western Europe,G-L,Unbekannt
Lithuania,LTU,Europe,Northern Europe,G-L,Unbekannt
Luxembourg,LUX,Europe,Western Europe,G-L,Unbekannt
Macao,MAC,Asia,Eastern Asia,M-R,Unbekannt
Madagascar,MDG,Africa,Sub-Saharan Africa,M-R,Unbekannt
Malawi,MWI,Africa,Sub-Saharan Africa,M-R,Unbekannt
Malaysia,MYS,Asia,South-eastern Asia,M-R,Unbekannt
Maldives,MDV,Asia,Southern Asia,M-R,Unbekannt
Mali,MLI,Africa,Sub-Saharan Africa,M-R,Unbekannt
Malta,MLT,Europe,Southern Europe,M-R,Unbekannt
